KEY_TIEMPO,fecha_iso,anio,mes_num,mes_nombre,trimestre,estacion,decada,quinquenio
201801,2018-01-31,2018,1,ENERO,1,INVIERNO,2010,2015
201802,2018-02-28,2018,2,FEBRERO,1,INVIERNO,2010,2015
201803,2018-03-31,2018,3,MARZO,1,PRIMAVERA,2010,2015
201804,2018-04-30,2018,4,ABRIL,2,PRIMAVERA,2010,2015
201805,2018-05-31,2018,5,MAYO,2,PRIMAVERA,2010,2015
201806,2018-06-30,2018,6,JUNIO,2,VERANO,2010,2015
201807,2018-07-31,2018,7,JULIO,3,VERANO,2010,2015
201808,2018-08-31,2018,8,AGOSTO,3,VERANO,2010,2015
201809,2018-09-30,2018,9,SEPTIEMBRE,3,OTOÑO,2010,2015
201810,2018-10-31,2018,10,OCTUBRE,4,OTOÑO,2010,2015
201811,2018-11-30,2018,11,NOVIEMBRE,4,OTOÑO,2010,2015
201812,2018-12-31,2018,12,DICIEMBRE,4,INVIERNO,2010,2015
201901,2019-01-31,2019,1,ENERO,1,INVIERNO,2010,2015
201902,2019-02-28,2019,2,FEBRERO,1,INVIERNO,2010,2015
201903,2019-03-31,2019,3,MARZO,1,PRIMAVERA,2010,2015
201904,2019-04-30,2019,4,ABRIL,2,PRIMAVERA,2010,2015
201905,2019-05-31,2019,5,MAYO,2,PRIMAVERA,2010,2015
201906,2019-06-30,2019,6,JUNIO,2,VERANO,2010,2015
201907,2019-07-31,2019,7,JULIO,3,VERANO,2010,2015
201908,2019-08-31,2019,8,AGOSTO,3,VERANO,2010,2015
201909,2019-09-30,2019,9,SEPTIEMBRE,3,OTOÑO,2010,2015
201910,2019-10-31,2019,10,OCTUBRE,4,OTOÑO,2010,2015
201911,2019-11-30,2019,11,NOVIEMBRE,4,OTOÑO,2010,2015
201912,2019-12-31,2019,12,DICIEMBRE,4,INVIERNO,2010,2015
202001,2020-01-31,2020,1,ENERO,1,INVIERNO,2020,2020
202002,2020-02-29,2020,2,FEBRERO,1,INVIERNO,2020,2020
202003,2020-03-31,2020,3,MARZO,1,PRIMAVERA,2020,2020
202004,2020-04-30,2020,4,ABRIL,2,PRIMAVERA,2020,2020
202005,2020-05-31,2020,5,MAYO,2,PRIMAVERA,2020,2020
202006,2020-06-30,2020,6,JUNIO,2,VERANO,2020,2020
202007,2020-07-31,2020,7,JULIO,3,VERANO,2020,2020
202008,2020-08-31,2020,8,AGOSTO,3,VERANO,2020,2020
202009,2020-09-30,2020,9,SEPTIEMBRE,3,OTOÑO,2020,2020
202010,2020-10-31,2020,10,OCTUBRE,4,OTOÑO,2020,2020
202011,2020-11-30,2020,11,NOVIEMBRE,4,OTOÑO,2020,2020
202012,2020-12-31,2020,12,DICIEMBRE,4,INVIERNO,2020,2020
202101,2021-01-31,2021,1,ENERO,1,INVIERNO,2020,2020
202102,2021-02-28,2021,2,FEBRERO,1,INVIERNO,2020,2020
202103,2021-03-31,2021,3,MARZO,1,PRIMAVERA,2020,2020
202104,2021-04-30,2021,4,ABRIL,2,PRIMAVERA,2020,2020
202105,2021-05-31,2021,5,MAYO,2,PRIMAVERA,2020,2020
202106,2021-06-30,2021,6,JUNIO,2,VERANO,2020,2020
202107,2021-07-31,2021,7,JULIO,3,VERANO,2020,2020
202108,2021-08-31,2021,8,AGOSTO,3,VERANO,2020,2020
202109,2021-09-30,2021,9,SEPTIEMBRE,3,OTOÑO,2020,2020
202110,2021-10-31,2021,10,OCTUBRE,4,OTOÑO,2020,2020
202111,2021-11-30,2021,11,NOVIEMBRE,4,OTOÑO,2020,2020
202112,2021-12-31,2021,12,DICIEMBRE,4,INVIERNO,2020,2020
202201,2022-01-31,2022,1,ENERO,1,INVIERNO,2020,2020
202202,2022-02-28,2022,2,FEBRERO,1,INVIERNO,2020,2020
202203,2022-03-31,2022,3,MARZO,1,PRIMAVERA,2020,2020
202204,2022-04-30,2022,4,ABRIL,2,PRIMAVERA,2020,2020
202205,2022-05-31,2022,5,MAYO,2,PRIMAVERA,2020,2020
202206,2022-06-30,2022,6,JUNIO,2,VERANO,2020,2020
202207,2022-07-31,2022,7,JULIO,3,VERANO,2020,2020
202208,2022-08-31,2022,8,AGOSTO,3,VERANO,2020,2020
202209,2022-09-30,2022,9,SEPTIEMBRE,3,OTOÑO,2020,2020
202210,2022-10-31,2022,10,OCTUBRE,4,OTOÑO,2020,2020
202211,2022-11-30,2022,11,NOVIEMBRE,4,OTOÑO,2020,2020
202212,2022-12-31,2022,12,DICIEMBRE,4,INVIERNO,2020,2020
202301,2023-01-31,2023,1,ENERO,1,INVIERNO,2020,2020
202302,2023-02-28,2023,2,FEBRERO,1,INVIERNO,2020,2020
202303,2023-03-31,2023,3,MARZO,1,PRIMAVERA,2020,2020
202304,2023-04-30,2023,4,ABRIL,2,PRIMAVERA,2020,2020
202305,2023-05-31,2023,5,MAYO,2,PRIMAVERA,2020,2020
202306,2023-06-30,2023,6,JUNIO,2,VERANO,2020,2020
202308,2023-08-31,2023,8,AGOSTO,3,VERANO,2020,2020
202309,2023-09-30,2023,9,SEPTIEMBRE,3,OTOÑO,2020,2020
202310,2023-10-31,2023,10,OCTUBRE,4,OTOÑO,2020,2020
202311,2023-11-30,2023,11,NOVIEMBRE,4,OTOÑO,2020,2020
202312,2023-12-31,2023,12,DICIEMBRE,4,INVIERNO,2020,2020
202401,2024-01-31,2024,1,ENERO,1,INVIERNO,2020,2020
202402,2024-02-29,2024,2,FEBRERO,1,INVIERNO,2020,2020
202403,2024-03-31,2024,3,MARZO,1,PRIMAVERA,2020,2020
202405,2024-05-31,2024,5,MAYO,2,PRIMAVERA,2020,2020
202406,2024-06-30,2024,6,JUNIO,2,VERANO,2020,2020
202407,2024-07-31,2024,7,JULIO,3,VERANO,2020,2020
202408,2024-08-31,2024,8,AGOSTO,3,VERANO,2020,2020
202409,2024-09-30,2024,9,SEPTIEMBRE,3,OTOÑO,2020,2020
202410,2024-10-31,2024,10,OCTUBRE,4,OTOÑO,2020,2020
202411,2024-11-30,2024,11,NOVIEMBRE,4,OTOÑO,2020,2020
202412,2024-12-31,2024,12,DICIEMBRE,4,INVIERNO,2020,2020
202501,2025-01-31,2025,1,ENERO,1,INVIERNO,2020,2025
202502,2025-02-28,2025,2,FEBRERO,1,INVIERNO,2020,2025
202503,2025-03-31,2025,3,MARZO,1,PRIMAVERA,2020,2025
202504,2025-04-30,2025,4,ABRIL,2,PRIMAVERA,2020,2025
202505,2025-05-31,2025,5,MAYO,2,PRIMAVERA,2020,2025
202507,2025-07-31,2025,7,JULIO,3,VERANO,2020,2025
202508,2025-08-31,2025,8,AGOSTO,3,VERANO,2020,2025
202509,2025-09-30,2025,9,SEPTIEMBRE,3,OTOÑO,2020,2025
202510,2025-10-31,2025,10,OCTUBRE,4,OTOÑO,2020,2025
